Intersection Street 1,Intersection Street 2,LATITUDE,LONGITUDE
Bathurst St,Carscadden Dr,,
Yonge St,Sheppard Ave E,,
Hannaford St,Lyall Ave,,
Kingston Rd,Scarborough Rd,,
Lynn Rd,Warden Ave,,
Don Mills Rd,Eglinton Ave E,,
Antibes Dr,Torresdale Ave,,
Rouge Park Glen Eagles Vista Trl,Sheppard Ave E,,
Brian Dr,Consumers Rd,,
Lower Simcoe St,Lake Shore Blvd W,,
O'Connor Dr,Dohme Ave,,
Gooch Ave,Van Stassen Blvd,,
Delavan Ave,Spadina Rd,,
Mathews Gt,Yorkdale Cres,,
King Street Cres,Weston Rd,,
Tams Rd,Morningside Ave,,
Bloor St W,St George St,,
Donino Ave,Donwoods Dr,,
Lake Shore Blvd W,Superior Ave,,
Keelegate Dr,Keele St,,
Langley Ave,Carlaw Ave,,
Finch Ave W,Gracedale Blvd,,
Dovercourt Rd,Bloor St W,,
Lawrence Ave W,Ralph St,,
East Lynn Ave,Woodmount Ave,,
Don Mills Rd,Leith Hill Rd,,
Pimlico Rd,Lawrence Ave W,,
Park Vista,Dawes Rd,,
Rosevear Ave,Dawes Rd,,
Fort York Blvd,Grand Magazine St,,
Elm Rd,Brooke Ave,,
Glengrove Ave,Forest Wood,,
Lawrence Ave E,Midland Ave,,
Bathurst St,Cedarcroft Blvd,,
Park Rd,Church St,,
Battenberg Ave,Coxwell Ave,,
Mammoth Hall Trl,Gateforth Dr,,
Moberly Ave,Danforth Ave,,
Corona St,Lawrence Ave W,,
Coe Hill Dr,Windermere Ave,,
Finch Ave W,Yonge St,,
Mortimer Ave,Pape Ave,,
Farmview Cres,George Henry Blvd,,
Clovelly Ave,Oakwood Ave,,
Fleet St,Manitoba Dr,,
Beaconhill Rd,Kipling Ave,,
Kennedy Rd,Norcap Ave,,
Kidron Valley Dr,Kipling Ave,,
G Ross Lord Park Trl,Dufferin St,,
Riverdale Ave,Broadview Ave,,
Verobeach Blvd,Weston Rd,,
Don Mills Rd,Dvp S Don Mills Rd S Ramp,,
Bathurst St,Transwell Ave,,
Holiday Dr,The West Mall,,
Paterson Pl,Shuter St,,
Beta St,Horner Ave,,
Rossmore Rd,Vermont Ave,,
Bloor St W,Jane St,,
Wilson Ave,Dallner Rd,,
Sheppard Ave E,Allanford Rd,,
Cortleigh Blvd,Mona Dr,,
Kingston Rd,Cromwell Rd,,
Martin Grove Rd,Redgrave Dr,,
Front St W,Bathurst St,,
Sheppard Ave E,Conlins Rd,,
Strathgowan Ave,Strathgowan Cres,,
Parliament St,Wellesley St E,,
F G Gardiner Xy E,Lakeshore E Gardiner Ramp,,
